Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_1206_3216Metric,68.4,-49.2,0.0,top
C2,100n,C_1206_3216Metric,68.399999,-73.800001,0.0,top
C3,4700u,CP_Radial_D18.0mm_P7.50mm,91.020001,-51.577778,-90.0,top
C4,4700u,CP_Radial_D18.0mm_P7.50mm,91.0,-70.877778,-90.0,top
C5,220u,CP_Radial_D8.0mm_P3.50mm,94.347349,-36.3,180.0,top
C6,220u,CP_Radial_D8.0mm_P3.50mm,94.152651,-86.7,0.0,top
C7,220u,CP_Radial_D8.0mm_P3.50mm,104.55,-57.147349,90.0,top
C8,220u,CP_Radial_D8.0mm_P3.50mm,104.55,-66.047349,90.0,top
C9,220u,CP_Radial_D8.0mm_P3.50mm,140.652651,-36.3,0.0,top
C10,220u,CP_Radial_D8.0mm_P3.50mm,140.847349,-86.7,180.0,top
C11,220u,CP_Radial_D8.0mm_P3.50mm,118.65,-57.147349,90.0,top
C12,220u,CP_Radial_D8.0mm_P3.50mm,118.65,-66.047349,90.0,top
C13,220u,CP_Radial_D8.0mm_P3.50mm,118.65,-48.052651,-90.0,top
C14,220u,CP_Radial_D8.0mm_P3.50mm,118.65,-74.752651,-90.0,top
C15,100p,C_0805_2012Metric,134.1,-47.8,0.0,top
C16,100p,C_0805_2012Metric,134.1,-75.2,0.0,top
D1,4A,Diode_Bridge_Vishay_GBU,71.0,-45.1,0.0,top
D2,4A,Diode_Bridge_Vishay_GBU,70.93,-77.95,180.0,top
D3,7V5,D_SOD-123,104.05,-50.4,-90.0,top
D4,7V5,D_SOD-123,104.05,-72.6,-90.0,top
D5,4148,D_SOD-123,111.55,-57.2,0.0,top
D6,4148,D_SOD-123,111.55,-63.4,180.0,top
D7,4148,D_SOD-123,111.55,-59.6,180.0,top
D8,4148,D_SOD-123,111.55,-65.8,0.0,top
D9,7V5,D_SOD-123,133.15,-57.4,90.0,top
D10,7V5,D_SOD-123,135.55,-57.4,90.0,top
D11,7V5,D_SOD-123,135.55,-65.599999,-90.0,top
D12,7V5,D_SOD-123,133.15,-65.6,-90.0,top
HS1,Heatsink,Heatsink,117.5,-88.1,180.0,top
HS2,Heatsink,Heatsink,117.5,-34.855,0.0,top
J1,In,"TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",61.125001,-61.499999,-90.0,top
J2,Out,"TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal",146.875001,-61.499999,90.0,top
J3,V+_Sen+,PinHeader_1x02_P2.54mm_Vertical_Jumper,139.56,-47.535,0.0,top
J4,V+_Sen-,PinHeader_1x02_P2.54mm_Vertical_Jumper,139.56,-55.155,0.0,top
J5,V-_Sen+,PinHeader_1x02_P2.54mm_Vertical_Jumper,139.56,-67.855,0.0,top
J6,V-_Sen-,PinHeader_1x02_P2.54mm_Vertical_Jumper,139.56,-75.475,0.0,top
Q1,BCM857DS,SOT-23-6,106.4,-44.6,90.0,top
Q2,BCM847DS,SOT-23-6,106.4,-78.399998,90.0,top
Q3,BDW93C,TO-220-3_TO-247_Combined_Vertical,117.5,-39.635,0.0,top
Q4,BDW94C,TO-220-3_TO-247_Combined_Vertical,117.5,-83.365,180.0,top
Q5,MMBT5087,SOT-23-3,107.049998,-50.4,90.0,top
Q6,MMBT5089,SOT-23-3,107.05,-72.6,90.0,top
Q7,BCM857DS,SOT-23-6,131.75,-50.6,0.0,top
Q8,BCM847DS,SOT-23-6,131.75,-72.4,0.0,top
R1,10,R_MiniMELF_MMA-0204,73.2,-49.2,0.0,top
R2,10,R_MiniMELF_MMA-0204,73.2,-73.8,0.0,top
R3,4R7,R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal,75.2,-38.3,0.0,top
R4,4R7,R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal,75.2,-84.7,0.0,top
R5,4R7,R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal,75.2,-31.5,0.0,top
R6,4R7,R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal,75.2,-91.5,0.0,top
R7,10K,R_MiniMELF_MMA-0204,110.7,-45.500001,0.0,top
R8,10K,R_MiniMELF_MMA-0204,110.7,-77.499999,0.0,top
R9,120,R_MiniMELF_MMA-0204,103.399999,-44.599999,-90.0,top
R10,120,R_MiniMELF_MMA-0204,103.399999,-78.399998,-90.0,top
R11,10K,R_MiniMELF_MMA-0204,130.75,-57.4,-90.0,top
R12,10K,R_MiniMELF_MMA-0204,130.75,-65.6,-90.0,top
R13,120,R_MiniMELF_MMA-0204,131.75,-53.6,0.0,top
R14,120,R_MiniMELF_MMA-0204,131.75,-69.4,0.0,top
R15,10K,R_MiniMELF_MMA-0204,135.55,-52.2,-90.0,top
R16,10K,R_MiniMELF_MMA-0204,135.55,-70.8,-90.0,top
R17,560,R_MiniMELF_MMA-0204,125.55,-47.8,180.0,top
R18,560,R_MiniMELF_MMA-0204,125.55,-57.4,0.0,top
R19,560,R_MiniMELF_MMA-0204,125.55,-65.6,180.0,top
R20,560,R_MiniMELF_MMA-0204,125.55,-75.2,0.0,top
R21,120,R_MiniMELF_MMA-0204,134.7,-45.6,0.0,top
R22,120,R_MiniMELF_MMA-0204,134.7,-77.4,0.0,top
RV1,1k,Potentiometer_Bourns_3266W_Vertical,125.55,-52.585,0.0,top
RV2,1k,Potentiometer_Bourns_3266W_Vertical,125.55,-70.4,180.0,top
TH1,40VAC,RV_Disc_D9mm_W5.2mm_P5mm,71.4,-53.3,0.0,top
TH2,40VAC,RV_Disc_D9mm_W5.2mm_P5mm,71.4,-69.700002,0.0,top
U1,ADA4610-1,SOIC-8_3.9x4.9mm_P1.27mm,111.55,-52.2,0.0,top
U2,ADA4610-1,SOIC-8_3.9x4.9mm_P1.27mm,111.55,-70.8,180.0,top
